Date,Time,Lux,Iin (mA),Vin,Iout (mA),Vout,Notes,Efficiency,Input power (W),Output power (W),
3/3,8:53,78500,0,6.22,0,3.302,Open circuit,0.00,0.00,0.00,lux measured but not needed since open circuit
3/3,8:55,87400,65,4.78,82.1,3.387,Clear!,0.89,0.31,0.28,
3/3,9:00,92400,65,4.77,77.3,3.608,Clear!,0.90,0.31,0.28,
3/3,9:05,91300,68,4.78,78.4,3.711,Clear!,0.90,0.33,0.29,
3/3,9:10,95400,69,4.77,78.5,3.764,Clear!,0.90,0.33,0.30,
3/3,9:15,96900,70,4.77,79.3,3.779,Clear!,0.90,0.33,0.30,
3/3,9:20,85300,66,4.76,75.2,3.783,Clear!,0.91,0.31,0.28,
3/3,9:25,97200,70,4.76,79.4,3.797,Clear!,0.90,0.33,0.30,
3/3,9:30,97400,74,4.77,83.5,3.815,Clear!,0.90,0.35,0.32,
3/3,9:35,102400,75,4.77,84.9,3.832,Clear!,0.91,0.36,0.33,
3/3,9:40,102200,77,4.77,86.2,3.848,Clear!,0.90,0.37,0.33,
3/3,9:45,102900,78,4.77,87.2,3.861,Clear!,0.90,0.37,0.34,
3/3,9:50,103200,79,4.77,88.5,3.873,Clear!,0.91,0.38,0.34,
3/3,9:55,103400,81,4.78,90,3.882,Clear!,0.90,0.39,0.35,
3/3,10:00,110900,81,4.78,90.8,3.888,Clear!,0.91,0.39,0.35,
3/3,10:05,111300,82,4.78,91.9,3.892,Clear!,0.91,0.39,0.36,
3/3,10:10,113100,83,4.77,92.3,3.897,Clear!,0.91,0.40,0.36,
3/3,10:15,114700,86,4.78,96.5,3.905,Clear!,0.92,0.41,0.38,
3/3,10:20,113100,83,4.77,92.6,3.908,Clear!,0.91,0.40,0.36,
3/3,10:25,115800,85,4.78,95.1,3.911,Clear!,0.92,0.41,0.37,
3/3,10:30,116000,86,4.78,95.3,3.917,Clear!,0.91,0.41,0.37,
3/3,10:35,117800,87,4.78,96.6,3.929,Clear!,0.91,0.42,0.38,
3/3,10:40,115300,86,4.78,94.7,3.942,Clear!,0.91,0.41,0.37,
3/3,10:45,114700,87,4.78,96.1,3.952,Clear!,0.91,0.42,0.38,
3/3,10:50,105200,86,4.78,95.3,3.966,Clear!,0.92,0.41,0.38,
3/3,10:55,116200,85,4.78,93.3,3.977,Clear!,0.91,0.41,0.37,
3/3,11:00,114900,85,4.78,92.1,3.994,Clear!,0.91,0.41,0.37,
3/3,11:05,108700,83,4.78,90.5,4.003,Clear!,0.91,0.40,0.36,
3/3,11:10,113200,84,4.78,91.5,4.015,Clear!,0.91,0.40,0.37,
3/3,11:15,113800,82,4.77,88.4,4.026,Clear!,0.91,0.39,0.36,
3/3,11:20,113900,83,4.78,89.8,4.037,Clear!,0.91,0.40,0.36,
3/3,11:25,112900,83,4.78,89,4.045,Clear!,0.91,0.40,0.36,
3/3,11:30,107700,81,4.77,86.4,4.054,Clear!,0.91,0.39,0.35,
3/3,11:35,113000,83,4.78,89.6,4.078,Clear!,0.92,0.40,0.37,
3/3,11:40,111500,83,4.78,88,4.116,Clear!,0.91,0.40,0.36,
3/3,11:45,113400,85,4.78,88.9,4.156,Clear!,0.91,0.41,0.37,
3/3,11:50,114100,83,4.78,86.6,4.171,Clear!,0.91,0.40,0.36,
3/3,11:55,117500,85,4.78,89.3,4.191,Clear!,0.92,0.41,0.37,
3/3,11:58,116300,84,4.78,87.1,4.2,Clear!,0.91,0.40,0.37,
3/3,12:00,115600,0,6.28,0,4.138,Open circuit,0.00,0.00,0.00,lux measured but not needed since open circuit
