Date,Time,Lux,Iin (mA),Vin,Iout (mA),Vout,Notes,Efficiency,Input power (W),Output power (W)
2/26,10:58,18140,0,6.6,0,3.18,Open circuit,0.00,0.00,0.00
2/26,11:00,67800,182,4.84,230.2,3.384,Intermittent clouds,0.88,0.88,0.78
2/26,11:05,28400,53,4.76,58.3,3.681,Completely cloudy,0.85,0.25,0.21
2/26,11:10,19250,31,4.75,31.9,3.653,Completely cloudy,0.79,0.15,0.12
2/26,11:15,21400,40,4.75,42.3,3.743,Completely cloudy,0.83,0.19,0.16
2/26,11:20,52400,136,4.81,154.2,3.81,Intermittent clouds,0.90,0.65,0.59
2/26,11:25,65200,157,4.84,178.6,3.89,Clear skies finally!,0.91,0.76,0.69
2/26,11:30,71800,156,4.84,171.2,3.913,Clear!,0.89,0.76,0.67
2/26,11:35,71100,147,4.84,165.8,3.937,Clear!,0.92,0.71,0.65
2/26,11:40,71200,148,4.84,167.3,3.939,Clear!,0.92,0.72,0.66
2/26,11:45,73100,145,4.84,163.3,3.942,Clear!,0.92,0.70,0.64
2/26,11:50,72100,142,4.84,159,3.948,Intermittent clouds,0.91,0.69,0.63
2/26,11:55,96600,211,4.89,232.4,4.023,Clear!,0.91,1.03,0.93
2/26,12:00,95800,208,4.88,228.8,4.04,Clear!,0.91,1.02,0.92
2/26,12:05,98000,212,4.88,231.8,4.071,Clear!,0.91,1.03,0.94
2/26,12:10,101900,219,4.88,237.1,4.108,Intermittent clouds,0.91,1.07,0.97
2/26,12:15,111400,230,4.89,243.7,4.152,Clear!,0.90,1.12,1.01
2/26,12:20,103500,225,4.89,242.3,4.189,Intermittent clouds,0.92,1.10,1.01
2/26,12:22,117800,223,4.89,247.4,4.203,Intermittent clouds,0.95,1.09,1.04
