Date,Time,Lux,Iin (mA),Vin,Iout (mA),Vout,Notes,Efficiency,Input power (W),Output power (W)
2/28,12:08,,,6.71,,3.365,Open circuit,0.00,0.00,0.00
2/28,12:10,,131,4.83,163.4,3.545,-,0.92,0.63,0.58
2/28,12:15,,131,4.82,153.7,3.775,-,0.92,0.63,0.58
2/28,15:20,,131,4.82,151.7,3.819,-,0.92,0.63,0.58
2/28,12:25,,131,4.82,150.8,3.838,-,0.92,0.63,0.58
2/28,12:30,,130,4.82,149.5,3.867,-,0.92,0.63,0.58
2/28,12:35,,130,4.82,148.6,3.884,-,0.92,0.63,0.58
2/28,12:40,,130,4.82,147.4,3.9,-,0.92,0.63,0.57
2/28,12:45,,134,4.82,151.8,3.913,-,0.92,0.65,0.59
2/28,12:50,,134,4.82,151.5,3.919,-,0.92,0.65,0.59
2/28,12:55,,134,4.82,151,3.926,-,0.92,0.65,0.59
2/28,13:00,,134,4.82,150.4,3.938,-,0.92,0.65,0.59
2/28,13:05,,132,4.82,149.9,3.949,-,0.93,0.64,0.59
2/28,13:10,,140,4.82,156,3.971,-,0.92,0.67,0.62
2/28,13:15,,140,4.82,155.3,3.991,-,0.92,0.67,0.62
2/28,13:20,,139,4.82,153.8,4.023,-,0.92,0.67,0.62
2/28,13:25,,139,4.82,152.4,4.051,-,0.92,0.67,0.62
2/28,13:30,,139,4.82,151.5,4.076,-,0.92,0.67,0.62
2/28,13:35,,139,4.82,150.9,4.093,-,0.92,0.67,0.62
2/28,13:40,,139,4.82,149.3,4.133,-,0.92,0.67,0.62
2/28,13:45,,139,4.82,147.3,4.191,-,0.92,0.67,0.62
2/28,13:50,,138,4.82,146.4,4.211,-,0.93,0.67,0.62
2/28,13:52,,,6.74,,4.114,Open circuit,0.00,0.00,0.00
